SampleName	clone	coll.plant	DNA	RNA	assigned_STR_JP	assigned_STR_JF1	assigned_STR_JF2	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	assigned_RF	Final	Medicago_Ctrl	comment
Cytisus_14_T6	14	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.55	0	0.02	0.08	0.1	0.03	0.14	0.09	Cytisus	Cytisus		
Cytisus_16_T7	16	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_21_T8	21	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.7	0	0.03	0.05	0.08	0.01	0.07	0.06	Cytisus	Cytisus		
Cytisus_76_T10	76	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_77_T11	77	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_79_T12	79	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_80_T13	80	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_87_T14	87	Cytisus	yes		Lotus corniculatus		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		probable inversion in JCS samples
Cytisus_89_T15	89	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_90_T16	90	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_92_T17	92	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_115_T1	115	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_127_T2	127	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_128_T3	128	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_131_T4	131	Cytisus	yes				Cytisus scoparius	0.45	0.01	0.12	0.07	0.05	0.13	0.09	0.08	Cytisus	Cytisus		
Cytisus_132_T5	132	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.69	0	0.05	0.08	0.05	0.05	0.03	0.04	Cytisus	Cytisus		
Cytisus_244_T9	244	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.56	0	0.06	0.11	0.11	0.03	0.03	0.09	Cytisus	Cytisus		
L.corn._68_T39	68	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.93	0.01	0.02	0	0	0.02	L.corn.	L.corn.		
L.corn._70_T40	70	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.91	0.04	0.01	0.01	0	0.03	L.corn.	L.corn.		
L.corn._99_T41	99	Lotcorn	yes	yes	Cytisus scoparius		Lotus corniculatus	0.06	0	0.7	0.09	0.04	0.04	0.02	0.05	L.corn.	L.corn.		probable inversion in JCS samples
L.corn._100_T30	100	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.9	0.03	0.03	0.01	0	0.02	L.corn.	L.corn.		
L.corn._101_T31	101	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.86	0.09	0.01	0.01	0	0.02	L.corn.	L.corn.		
L.corn._102_T32	102	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.02	0.01	0.88	0	0.01	0.03	0.01	0.04	L.corn.	L.corn.		
L.corn._113_T33	113	Lotcorn	yes	yes	Medicago lupulina		Lotus corniculatus	0.02	0	0.92	0.01	0.02	0	0	0.02	L.corn.	NA		
L.corn._114_T34	114	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.05	0	0.62	0.05	0.1	0.03	0.03	0.13	L.corn.	L.corn.		
L.corn._239_T35	239	Lotcorn	yes		Medicago lupulina		Lotus pedunculatus/ corniculatus	0.03	0.04	0.01	0.05	0.31	0.05	0.27	0.24	Medicago	hybrid		
L.corn._243_T36	243	Lotcorn	yes		Medicago lupulina		Trifolium pratense	0.01	0	0.01	0.06	0.59	0	0.19	0.13	Medicago	hybrid		
L.corn._251_T37	251	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.07	0.01	0.73	0.03	0.02	0.08	0.02	0.04	L.corn.	L.corn.		
L.corn._286_T38	286	Lotcorn	yes					0.03	0	0.57	0.12	0.12	0.02	0.02	0.13	L.corn.	L.corn.		
L.ped._11_T42	11	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.03	0	0.02	0.78	0.07	0.03	0.02	0.05	L.ped.	L.ped.		
L.ped._12_T43	12	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.08	0	0.01	0.6	0.17	0.01	0.04	0.08	L.ped.	L.ped.		
L.ped._64_T44	64	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	0.04	0	0.05	0.69	0.1	0.01	0.04	0.07	L.ped.	L.ped.		
L.ped._74_T45	74	Lotped	yes	yes	Medicago lupulina/Lotus pedunculatus		Lotus pedunculatus/Trifolium	0.02	0	0.04	0.67	0.03	0.02	0.13	0.08	L.ped.	NA		hybrid?
L.ped._81_T46	81	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.06	0	0.06	0.67	0.03	0.01	0.02	0.15	L.ped.	L.ped.		
NA	82	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	L.ped.		
L.ped._83_T48	83	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	0.01	0	0.02	0.79	0.05	0.02	0.04	0.06	L.ped.	L.ped.		
NA	84	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	L.ped.		
L.ped._N132_T50	N132	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.05	0.06	0.09	0.56	0.08	0.02	0.04	0.09	L.ped.	L.ped.		
L.ped._N141_T51	N141	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.04	0	0.02	0.73	0.11	0.03	0.04	0.03	L.ped.	L.ped.		
L.ped._N153_T52	N153	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.03	0	0.13	0.62	0.12	0.01	0.03	0.06	L.ped.	L.ped.		
L.ped._N163_T53	N163	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.02	0	0.01	0.63	0.21	0.01	0.04	0.07	L.ped.	L.ped.		
L.ped._N184_T54	N184	Lotped	yes			Lotus pedunculatus	Pisum/Lotus pedunculatus	0.03	0	0.06	0.49	0.29	0.01	0.04	0.08	L.ped.	hybrid		
L.ped._N208_T55	N208	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.02	0	0.02	0.87	0.03	0.01	0.02	0.03	L.ped.	L.ped.		
L.ped._N224_T56	N224	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.02	0.01	0.03	0.8	0.04	0.01	0.02	0.07	L.ped.	L.ped.		
Lathyrus_167_T18	167	Lathyrus	yes	yes	Medicago sativa		Trifolium	0.02	0.03	0.03	0.02	0.39	0.12	0.09	0.32	Medicago	hybrid		
Lathyrus_171_T19	171	Lathyrus	yes	yes	Lathyrus pratensis		Lathyrus pratensis	0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_174_T20	174	Lathyrus	yes	yes	Lathyrus pratensis		Lathyrus pratensis	0	0.97	0.01	0	0	0	0.01	0.01	Lathyrus	Lathyrus		
Lathyrus_273_T21	273	Lathyrus	yes					0	0.98	0.01	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_275_T22	275	Lathyrus	yes	yes				0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_280_T23	280	Lathyrus	yes					0	1	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_281_T24	281	Lathyrus	yes					0	0.91	0.03	0	0.01	0.01	0.02	0.02	Lathyrus	Lathyrus		
Lathyrus_282_T25	282	Lathyrus	yes					0.05	0	0.04	0.01	0.27	0.03	0.13	0.45	Trifolium	hybrid		
Lathyrus_283_T26	283	Lathyrus	yes	yes				0	0.97	0.01	0	0	0	0.01	0.01	Lathyrus	Lathyrus		
Lathyrus_N152_T27	N152	Lathyrus	yes	yes		Lathyrus pratensis	Lathyrus pratensis	0	0.98	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_N191_T28	N191	Lathyrus	yes	yes		Lathyrus pratensis	Lathyrus pratensis	0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_N312_T29	N312	Lathyrus	yes	yes			Lathyrus pratensis	0	0.97	0.01	0	0	0	0	0.01	Lathyrus	Lathyrus		
Medicago_25_T70	25	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.03	0	0.05	0.11	0.62	0.04	0.06	0.08	Medicago	Medicago	TRUE	
Medicago_29_T71	29	Medicago	yes		Medicago sativa		Medicago sativa	0.03	0	0.06	0.13	0.69	0.01	0.04	0.05	Medicago	Medicago		
Medicago_32_T72	32	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.03	0.07	0	0.02	0.76	0	0.05	0.08	Medicago	Medicago	TRUE	
Medicago_36_T73	36	Medicago	yes		Medicago sativa		Medicago sativa	0.01	0	0	0.01	0.78	0	0.12	0.09	Medicago	Medicago		
Medicago_138_T57	138	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.04	0	0.02	0.01	0.56	0.01	0.17	0.18	Medicago	Medicago	TRUE	
Medicago_140_T58	140	Medicago	yes		Medicago sativa		Medicago sativa	0.04	0	0.03	0.01	0.4	0.03	0.19	0.3	Medicago	Medicago	TRUE	
Medicago_141_T59	141	Medicago	yes		Medicago sativa		Medicago sativa	0	0	0.03	0.06	0.59	0.02	0.14	0.16	Medicago	Medicago	TRUE	
Medicago_204_T60	204	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.03	0	0.07	0.03	0.57	0	0.06	0.23	Medicago	Medicago	TRUE	
Medicago_205_T61	205	Medicago	yes		Medicago sativa		Medicago sativa	0.01	0	0	0.02	0.9	0	0.01	0.06	Medicago	Medicago		
Medicago_206_T62	206	Medicago	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0	0	0.02	0.04	0.88	0.01	0.01	0.04	Medicago	NA		hybrid?
Medicago_207_T63	207	Medicago	yes		Medicago sativa		Medicago sativa	0.03	0	0	0.09	0.79	0	0.02	0.07	Medicago	Medicago	TRUE	
Medicago_209_T64	209	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.02	0	0.06	0.05	0.72	0.01	0.04	0.1	Medicago	Medicago	TRUE	
NA	210	Medicago	yes		Medicago sativa		Trifolium pratense/Medicago sativa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		hybrid?
Medicago_211_T66	211	Medicago	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0	0	0.05	0	0.83	0	0.01	0.11	Medicago	NA		hybrid?
Medicago_212_T67	212	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.01	0	0.03	0.04	0.8	0.01	0.06	0.05	Medicago	Medicago	TRUE	
Medicago_214_T68	214	Medicago	yes		Medicago sativa		Medicago sativa	0.03	0	0.01	0.06	0.8	0	0.01	0.09	Medicago	Medicago		
Medicago_221_T69	221	Medicago	yes		Medicago sativa		Trifolium pratense	0.02	0	0	0.02	0.75	0.08	0.12	0.02	Medicago	NA	TRUE	hybrid?
Medicago_N143_T74	N143	Medicago	yes	yes		Medicago sativa	Medicago sativa	0.03	0.01	0.03	0.05	0.64	0.07	0.05	0.12	Medicago	Medicago	TRUE	
Medicago_N328_T75	N328	Medicago	yes	yes	Medicago sativa		Medicago sativa	0.02	0	0	0.03	0.74	0	0.07	0.14	Medicago	Medicago	TRUE	
Medicago_N334_T76	N334	Medicago	yes				Medicago sativa	0.02	0	0.01	0.04	0.88	0	0.02	0.02	Medicago	Medicago	TRUE	
Medicago_N339_T77	N339	Medicago	yes		Medicago sativa		Medicago sativa	0.06	0	0.02	0.01	0.79	0.03	0.08	0.01	Medicago	Medicago	TRUE	
Medicago_N341_T78	N341	Medicago	yes		Medicago sativa		Medicago sativa	0.06	0	0.04	0.05	0.44	0.08	0.06	0.27	Medicago	Medicago	TRUE	
Ononis_252_T79	252	Ononis	yes	yes	Ononis		Ononis	0	0.06	0.01	0.01	0.02	0.89	0.01	0.01	Ononis	Ononis		
Ononis_253_T80	253	Ononis	yes	yes	Ononis		Ononis	0.01	0	0.03	0.02	0.05	0.83	0.02	0.03	Ononis	Ononis		
Ononis_254_T81	254	Ononis	yes	yes	Ononis		Ononis	0	0	0	0.01	0.01	0.96	0	0.01	Ononis	Ononis		
Ononis_256_T82	256	Ononis	yes	yes	Ononis		Ononis	0	0	0	0	0	0.99	0	0	Ononis	Ononis		
Ononis_257_T83	257	Ononis	yes	yes	Ononis		Ononis	0	0	0	0	0	0.99	0	0	Ononis	Ononis		
Ononis_276_T84	276	Ononis	yes	yes				0.01	0	0.01	0	0.01	0.95	0	0.01	Ononis	Ononis		
Ononis_277_T85	277	Ononis	yes					0.03	0	0.01	0.08	0.61	0.05	0.12	0.1	Medicago	NA		probably Medicago
Ononis_284_T86	284	Ononis	yes	yes				0.03	0.01	0.01	0.02	0.02	0.85	0.04	0.03	Ononis	Ononis		
Ononis_285_T87	285	Ononis	yes					0.08	0	0.06	0.09	0.06	0.56	0.05	0.1	Ononis	Ononis		
Ononis_N101_T88	N101	Ononis	yes			Ononis	Pisum/Ononis	0.03	0	0.03	0.04	0.04	0.8	0.03	0.04	Ononis	NA		Ononis?
Ononis_N123_T89	N123	Ononis	yes	yes		Ononis	Trifolium	0.03	0	0.02	0.04	0.01	0.73	0.12	0.06	Ononis	NA		Ononis?
Ononis_N133_T90	N133	Ononis	yes	yes		Ononis	Ononis	0.01	0	0.01	0	0.02	0.89	0.03	0.03	Ononis	Ononis		
Pisum_5_T100	5	Pisum	yes	yes			Pisum sativum	0.03	0	0.01	0.03	0.14	0.01	0.66	0.12	Pisum	Pisum		
Pisum_9_T101	9	Pisum	yes	yes	Pisum sativum		Pisum sativum	0	0	0	0	0.03	0	0.94	0.02	Pisum	Pisum		
Pisum_121_T91	121	Pisum	yes	yes	Pisum sativum		Pisum sativum	0.01	0	0	0.01	0.05	0	0.91	0.02	Pisum	Pisum		
Pisum_124_T92	124	Pisum	yes	yes			Pisum sativum	0.05	0	0.01	0.05	0.04	0.03	0.76	0.06	Pisum	Pisum		
Pisum_192_T93	192	Pisum	yes		Trifolium pratense		Trifolium pratense	0.04	0.07	0.04	0.11	0.16	0.16	0.22	0.21	Pisum	hybrid		
Pisum_193_T94	193	Pisum	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0.02	0.01	0.04	0.04	0.44	0	0.03	0.41	Medicago	hybrid		Medicago/Trifolium hybrid?
Pisum_245_T95	245	Pisum	yes	yes	Pisum sativum		Pisum sativum	0.04	0	0.01	0.09	0.24	0.01	0.4	0.2	Pisum	Pisum		
Pisum_246_T96	246	Pisum	yes	yes	Medicago sativa		Trifolium pratense	0.02	0	0.01	0.03	0.67	0.01	0.16	0.1	Medicago	NA		medicago/hybrid?
Pisum_247_T97	247	Pisum	yes	yes	Trifolium pratense/Medicago sativa		Trifolium pratense	0.04	0	0.08	0.05	0.28	0.02	0.09	0.45	Trifolium	hybrid		
Pisum_248_T98	248	Pisum	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0.03	0	0.03	0.08	0.55	0.01	0.05	0.25	Medicago	hybrid		
Pisum_249_T99	249	Pisum	yes	yes	Medicago sativa		Medicago sativa	0.03	0	0.03	0.02	0.47	0.24	0.05	0.16	Medicago	hybrid		
Pisum_N181_T102	N181	Pisum	yes	yes		Pisum sativum	Pisum sativum	0	0	0.01	0.05	0.06	0	0.8	0.07	Pisum	Pisum		
Pisum_N256_T103	N256	Pisum	yes			Pisum sativum	Pisum sativum/Ononis	0.01	0	0	0.01	0.06	0.01	0.88	0.03	Pisum	NA		
Pisum_N316_T104	N316	Pisum	yes	yes	Pisum sativum			0	0	0	0	0.02	0	0.95	0.01	Pisum	Pisum		
Pisum_N342_T105	N342	Pisum	yes		Pisum sativum		Trifolium pratense	0.02	0.01	0.01	0.08	0.12	0	0.65	0.11	Pisum	NA		
Trifolium_47_T112	47	Trifolium	yes	yes	Medicago sativa		Trifolium pratense	0.03	0	0	0.04	0.13	0.02	0.18	0.6	Trifolium	NA		
Trifolium_48_T113	48	Trifolium	yes	yes	Medicago sativa		Trifolium pratense	0.04	0	0.09	0.01	0.27	0.02	0.03	0.55	Trifolium	NA		
Trifolium_57_T114	57	Trifolium	yes		Trifolium pratense		Trifolium pratense	0.02	0.02	0.07	0.08	0.17	0.01	0.23	0.4	Trifolium	Trifolium		
Trifolium_63_T115	63	Trifolium	yes	yes	Trifolium pratense		Trifolium pratense	0.03	0.01	0.07	0.07	0.15	0.02	0.11	0.53	Trifolium	Trifolium		
Trifolium_106_T106	106	Trifolium	yes	yes	Lotus corniculatus		Trifolium pratense	0.01	0.01	0.05	0.07	0.17	0.13	0.03	0.54	Trifolium	NA		
Trifolium_110_T107	110	Trifolium	yes	yes			Trifolium pratense	0.01	0.01	0.08	0.2	0.08	0.01	0.07	0.53	Trifolium	Trifolium		
Trifolium_111_T108	111	Trifolium	yes	yes	Trifolium pratense		Trifolium pratense	0.01	0	0.07	0.04	0.15	0	0.06	0.67	Trifolium	Trifolium		
Trifolium_112_T109	112	Trifolium	yes		Medicago lupulina/Pisum sativum		Trifolium pratense	0.01	0	0.02	0.07	0.08	0	0.05	0.77	Trifolium	NA		
Trifolium_136_T110	136	Trifolium	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0.03	0	0.01	0.02	0.17	0.05	0.2	0.52	Trifolium	NA		
Trifolium_198_T111	198	Trifolium	yes		Medicago sativa		Trifolium pratense/Medicago sativa	0.02	0	0.05	0.03	0.04	0.01	0.03	0.8	Trifolium	NA		
Trifolium_N102_T116	N102	Trifolium	yes			Trifolium pratense	Trifolium pratense	0.01	0.01	0.03	0.06	0.11	0.01	0.25	0.52	Trifolium	Trifolium		
Trifolium_N185_T117	N185	Trifolium	yes			Lotus pedunculatus	Medicago sativa	0	0	0	0.09	0.21	0.02	0.18	0.5	Trifolium	NA		
Trifolium_N319_T118	N319	Trifolium	yes	yes	Trifolium pratense		Trifolium pratense	0.03	0.06	0.02	0.05	0.48	0.1	0.03	0.23	Medicago	NA		
Trifolium_N322_T119	N322	Trifolium	yes	yes	Medicago sativa		Trifolium pratense	0.02	0	0.07	0.07	0.41	0.02	0.12	0.29	Medicago	hybrid		
Trifolium_N324_T120	N324	Trifolium	yes		Medicago sativa		Trifolium pratense	0.1	0	0.08	0.04	0.41	0.02	0.06	0.3	Medicago	hybrid		
