""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0108"	"0.0025"	"0.01"	"0.0076"	"0.0136"	"0.0733"	"0.0144"	"0.0236"	"0.0187"	"1.1882"
"PMT_317_1_1"	"0.0024"	"9e-04"	"0.0099"	"0.0191"	"0.0311"	"0.0078"	"0.0824"	"5e-04"	"0.0196"	"1.0878"
"PMT_313_1_1"	"-0.0019"	"0.0012"	"0.0128"	"0.022"	"0.0333"	"0.0077"	"0.0601"	"-0.0029"	"0.018"	"0.8815"
"PMT_316_1_1"	"0.0013"	"0.001"	"0.0133"	"0.0214"	"0.0342"	"0.0074"	"0.0543"	"-0.0037"	"0.0178"	"0.861"
"PMT_611_1_1"	"0.0256"	"7e-04"	"0.0241"	"0.0059"	"0.039"	"0.0175"	"0.0208"	"0.0047"	"0.0184"	"0.8248"
"PMT_615_1_1"	"0.0245"	"8e-04"	"0.0255"	"0.0074"	"0.0408"	"0.0167"	"0.0213"	"0.003"	"0.0187"	"0.8203"
"PMT_609_1_1"	"0.0253"	"7e-04"	"0.0235"	"0.0073"	"0.0398"	"0.019"	"0.0219"	"0.005"	"0.0188"	"0.8121"
"PMT_614_1_1"	"0.027"	"5e-04"	"0.0262"	"0.0072"	"0.0372"	"0.0186"	"0.0212"	"0.0031"	"0.0182"	"0.7955"
"PMT_607_1_1"	"0.0253"	"8e-04"	"0.0247"	"0.008"	"0.037"	"0.0181"	"0.0197"	"0.0031"	"0.0178"	"0.7807"
"Or_g6_5_1"	"0.0055"	"3e-04"	"0.0052"	"0.0044"	"0.0059"	"0.0723"	"0.0062"	"0.0042"	"0.0113"	"0.7802"
"Or_g6_2_3"	"0.0041"	"-3e-04"	"0.0057"	"0.0039"	"0.0065"	"0.0714"	"0.0053"	"0.0048"	"0.0113"	"0.7746"
"PMT_605_1_1"	"0.0266"	"9e-04"	"0.0247"	"0.0073"	"0.0378"	"0.0182"	"0.0201"	"0.0037"	"0.0181"	"0.7744"
"PMT_612_1_1"	"0.0206"	"4e-04"	"0.0239"	"0.0069"	"0.0364"	"0.0169"	"0.0183"	"0.0062"	"0.0175"	"0.7523"
"PMT_613_1_1"	"0.0221"	"5e-04"	"0.0229"	"0.0055"	"0.0362"	"0.015"	"0.0188"	"0.0041"	"0.0167"	"0.733"
"PMT_309_1_1"	"0.0043"	"7e-04"	"0.003"	"0.0135"	"0.005"	"0.029"	"0.005"	"0.0035"	"0.0077"	"0.6737"
"PMT_308_1_1"	"0.0042"	"9e-04"	"0.0025"	"0.0122"	"0.0049"	"0.0272"	"0.0045"	"0.0029"	"0.0073"	"0.664"
"Control_g56_7_2"	"-0.0013"	"9e-04"	"0.0364"	"0.006"	"0.0154"	"0.0187"	"0.0104"	"0.0126"	"0.013"	"0.6486"
"PMT_306_1_1"	"0.0032"	"0.0011"	"0.0021"	"0.0117"	"0.0044"	"0.0264"	"0.0044"	"0.0033"	"0.0069"	"0.6348"
"Gr_g34_3_2"	"0.0089"	"0.0066"	"0.0332"	"0.006"	"0.0083"	"0.0059"	"0.0083"	"0.0063"	"0.0097"	"0.62"
"P450_g39_1_5"	"0.0094"	"4e-04"	"0.0048"	"0.0038"	"0.0042"	"0.0012"	"0.0445"	"-0.0026"	"0.0062"	"0.617"
"PMT_307_1_1"	"0.004"	"7e-04"	"8e-04"	"0.0144"	"0.0046"	"0.0229"	"0.005"	"0.0029"	"0.0069"	"0.6087"
"Or_g66_3_2"	"0.0037"	"2e-04"	"5e-04"	"0.0236"	"0.0043"	"0.0117"	"0.0147"	"0.0059"	"0.0081"	"0.5386"
"Or_g53_1_12"	"-0.0021"	"4e-04"	"0.0058"	"0.0104"	"0.003"	"0.0063"	"0.0318"	"0.0039"	"0.0069"	"0.5345"
"Or_g68_4_1"	"0.0087"	"6e-04"	"0.0077"	"0.0024"	"0.0342"	"0.0046"	"0.0147"	"0.0066"	"0.0128"	"0.5244"
"P450_g15_7_2"	"0.0034"	"2e-04"	"0.002"	"0.0245"	"0.0033"	"0.0021"	"0.0066"	"0.0019"	"0.0059"	"0.4907"
"Or_g52_3_1"	"0.0032"	"3e-04"	"0.0331"	"-0.0011"	"0.0037"	"0.0028"	"0.0043"	"0.0029"	"0.0054"	"0.4842"
"Or_g52_5_2"	"0.0035"	"7e-04"	"0.034"	"-6e-04"	"0.0037"	"0.0029"	"0.0036"	"0.0025"	"0.0057"	"0.4793"
"Or_g52_4_1"	"0.0028"	"3e-04"	"0.031"	"-0.001"	"0.003"	"0.0018"	"0.0034"	"0.0026"	"0.0048"	"0.4501"
"P450_g15_11_1"	"0.0035"	"2e-04"	"0.002"	"0.0204"	"0.0028"	"0.0015"	"0.0057"	"0.0019"	"0.005"	"0.4413"
"Control_g12_2_4"	"-0.0023"	"0.0019"	"-0.0013"	"0.0114"	"0.0069"	"0.0276"	"0.0066"	"0.0014"	"0.0069"	"0.4321"
"Control_g12_1_1"	"-3e-04"	"0.0025"	"-0.0011"	"0.0108"	"0.0067"	"0.0279"	"0.0062"	"0.0011"	"0.0067"	"0.4311"
"P450_g13_7_2"	"0.0081"	"6e-04"	"0.0051"	"0.0071"	"0.0095"	"0.0135"	"0.0073"	"0.0046"	"0.0071"	"0.4192"
"PMT_393_1_1"	"-0.0011"	"1e-04"	"-3e-04"	"0.0172"	"0.0057"	"0.0053"	"0.0111"	"0.0064"	"0.0064"	"0.4162"
"Control_g208_1_1"	"0.0026"	"9e-04"	"0.0031"	"0.0022"	"0.0028"	"0.0247"	"0.0024"	"0.0025"	"0.0048"	"0.4136"
"P450_g15_6_2"	"0.0047"	"1e-04"	"0.0016"	"0.0195"	"0.003"	"0.0018"	"0.0045"	"0.0021"	"0.0049"	"0.4057"
"Control_g208_4_2"	"0.0026"	"9e-04"	"0.0028"	"0.0016"	"0.0028"	"0.0215"	"0.0029"	"0.0019"	"0.0042"	"0.4015"
"Or_g62_6_1"	"0.008"	"5e-04"	"0.0263"	"0.0026"	"0.0043"	"0.0033"	"0.0089"	"0.0035"	"0.0061"	"0.395"
"Or_g63_1_8"	"0.0092"	"7e-04"	"0.0269"	"0.0013"	"0.0011"	"-1e-04"	"0.0068"	"0.0049"	"0.005"	"0.3858"
"P450_g13_5_1"	"0.0048"	"1e-04"	"0.0045"	"0.0098"	"0.0078"	"0.0108"	"0.0031"	"9e-04"	"0.0055"	"0.3817"
"Or_g62_4_1"	"0.0071"	"8e-04"	"0.0228"	"0.0024"	"0.0049"	"-1e-04"	"0.008"	"0.0027"	"0.0054"	"0.3629"
"Or_g63_6_1"	"0.0107"	"5e-04"	"0.0254"	"0.0022"	"2e-04"	"-2e-04"	"0.0061"	"0.0029"	"0.0044"	"0.3531"
"Or_g63_5_2"	"0.0109"	"7e-04"	"0.0213"	"0.0021"	"6e-04"	"-3e-04"	"0.0059"	"0.002"	"0.004"	"0.3433"
"Or_g41_1_5"	"0.0127"	"2e-04"	"0.0191"	"0.0019"	"0.0029"	"0.0015"	"0.0031"	"0.0029"	"0.0045"	"0.3406"
"Or_g41_3_1"	"0.012"	"2e-04"	"0.0199"	"0.002"	"0.0029"	"0.0018"	"0.0029"	"0.0026"	"0.0046"	"0.3397"
"PMT_304_1_1"	"0.0019"	"1e-04"	"-8e-04"	"0.014"	"0.0032"	"0.0014"	"0.0027"	"0.0018"	"0.0036"	"0.336"
"P450_g13_6_2"	"0.0048"	"2e-04"	"4e-04"	"0.0064"	"0.0105"	"0.0088"	"0.0049"	"0.003"	"0.0055"	"0.3344"
"PMT_590_1_1"	"0.0037"	"4e-04"	"0.0295"	"0.0037"	"9e-04"	"0.0027"	"0.0053"	"-6e-04"	"0.0046"	"0.3322"
"Or_g41_4_2"	"0.0097"	"0"	"0.0184"	"0.0017"	"0.003"	"0.0012"	"0.0034"	"0.0022"	"0.0043"	"0.3252"
"Or_g63_4_1"	"0.0092"	"4e-04"	"0.0221"	"0.0016"	"9e-04"	"-1e-04"	"0.0064"	"0.0017"	"0.004"	"0.325"
"P450_g22_4_4"	"0.0151"	"1e-04"	"0.0144"	"5e-04"	"0.003"	"0.0017"	"0.0022"	"-7e-04"	"0.0033"	"0.3226"
"Or_g63_2_3"	"0.0093"	"7e-04"	"0.0202"	"0.0021"	"8e-04"	"-2e-04"	"0.0063"	"0.0037"	"0.0041"	"0.319"
"Or_g55_1_1"	"0.0025"	"2e-04"	"0.0257"	"-5e-04"	"0.0027"	"0.0019"	"0.002"	"0"	"0.0037"	"0.3181"
"PMT_591_1_1"	"0.0053"	"4e-04"	"0.0272"	"6e-04"	"0.0025"	"0.0028"	"0.0044"	"4e-04"	"0.0045"	"0.3101"
"PMT_616_1_1"	"-8e-04"	"6e-04"	"0.0087"	"0.0017"	"0.0081"	"2e-04"	"0.0048"	"0.0055"	"0.0045"	"0.309"
"Gr_g2_2_2"	"0.0162"	"0"	"0"	"0.009"	"0.004"	"0.0011"	"0.0048"	"0.0028"	"0.0041"	"0.2946"
"Or_g65_3_1"	"0.0023"	"2e-04"	"0.0161"	"0.0019"	"0.0039"	"0.0024"	"0.0052"	"-5e-04"	"0.0036"	"0.2915"
"Control_g121_2_1"	"0.0056"	"0.0013"	"0.0076"	"0.0067"	"0.0092"	"0.0029"	"-0.0011"	"0.0015"	"0.0047"	"0.2912"
"Or_g62_5_1"	"0.0061"	"5e-04"	"0.0172"	"0.0032"	"0.0041"	"4e-04"	"0.0086"	"0.001"	"0.0044"	"0.291"
"Control_g121_3_5"	"0.0048"	"0.0015"	"0.0083"	"0.0062"	"0.0097"	"0.0026"	"-0.001"	"0.0014"	"0.0049"	"0.2872"
"ApisSNMP_g9_1_16"	"-9e-04"	"0"	"-4e-04"	"0.0031"	"-9e-04"	"0.0063"	"0.0082"	"0.0047"	"0.0024"	"0.2837"
"OBP_g5_4_1"	"0.0146"	"0"	"0.0021"	"0.0053"	"1e-04"	"0.0011"	"0.0035"	"0.0043"	"0.0029"	"0.2827"
"Gr_g2_3_2"	"0.0157"	"0"	"-1e-04"	"0.0084"	"0.0042"	"0.0011"	"0.0044"	"0.0029"	"0.0039"	"0.2824"
"Gr_g2_1_6"	"0.0019"	"3e-04"	"-3e-04"	"0.0157"	"0.0014"	"9e-04"	"0.0035"	"0.0016"	"0.0034"	"0.2797"
"P450_g14_1_1"	"0.0018"	"1e-04"	"0.0022"	"0.0061"	"0.0073"	"0.0017"	"0.0068"	"0.0014"	"0.0039"	"0.2781"
"Or_g60_4_1"	"0.0024"	"0.02"	"0.0028"	"0.0027"	"0.0015"	"0.002"	"0.0018"	"0.002"	"0.0038"	"0.2754"
"PMT_18_1_1"	"0.0119"	"1e-04"	"0.0014"	"0.0049"	"7e-04"	"8e-04"	"0.0029"	"0.004"	"0.0026"	"0.273"
"Or_g51_1_12"	"0.0016"	"1e-04"	"-9e-04"	"0.0122"	"0.0033"	"5e-04"	"0.0027"	"0.0016"	"0.0032"	"0.2725"
"P450_g14_8_2"	"9e-04"	"0"	"0.0024"	"0.0059"	"0.0069"	"0.0016"	"0.0051"	"0.0017"	"0.0037"	"0.2668"
"PMT_21_1_1"	"0.0144"	"0"	"0.0015"	"0.0043"	"5e-04"	"0.001"	"0.0037"	"0.0041"	"0.0026"	"0.2649"
"Gr_g42_3_1"	"0.0019"	"0.0219"	"0.0023"	"0.0012"	"0.0024"	"0.0021"	"0.0019"	"0.0015"	"0.0039"	"0.2628"
"OBP_g5_5_1"	"0.0142"	"0"	"0.0019"	"0.0054"	"2e-04"	"8e-04"	"0.0043"	"0.0034"	"0.0027"	"0.2627"
"Gr_g76_2_3"	"0.0013"	"0.0235"	"0.0022"	"0.0019"	"0.002"	"0.0021"	"0.0018"	"0.0016"	"0.0041"	"0.2619"
"PMT_289_1_1"	"0.0016"	"0.0231"	"0.0024"	"3e-04"	"0.0022"	"0.0018"	"0.0025"	"0.0013"	"0.0038"	"0.261"
"P450_g13_4_3"	"0.0026"	"0"	"0.0025"	"1e-04"	"0.0035"	"0.0203"	"0.0021"	"4e-04"	"0.0034"	"0.2574"
"PMT_596_1_1"	"0.004"	"0"	"0.0146"	"8e-04"	"0.0036"	"0.0018"	"0.0046"	"-8e-04"	"0.003"	"0.2563"
"Gr_g60_1_8"	"0.0015"	"0.0203"	"0.0012"	"0.0016"	"0.0024"	"0.0021"	"0.002"	"0.0019"	"0.0037"	"0.2547"
"PMT_20_1_1"	"0.0133"	"0"	"0.002"	"0.0048"	"-1e-04"	"7e-04"	"0.0034"	"0.0034"	"0.0025"	"0.2539"
"Gr_g42_5_1"	"0.0023"	"0.0222"	"0.0023"	"9e-04"	"0.0023"	"0.0017"	"0.0022"	"0.0015"	"0.0037"	"0.2536"
"PMT_236_1_1"	"0.0022"	"0.0204"	"0.0027"	"0.0013"	"0.0021"	"0.0027"	"0.0028"	"5e-04"	"0.0038"	"0.2535"
"P450_g11_6_1"	"0.0016"	"0.024"	"0.0025"	"0.0015"	"0.002"	"0.0025"	"0.0022"	"0.0015"	"0.0041"	"0.2527"
"PMT_593_1_1"	"0.003"	"3e-04"	"0.023"	"-5e-04"	"0.0015"	"0.0024"	"0.0031"	"-5e-04"	"0.0032"	"0.2518"
"Gr_g21_1_11"	"0.0033"	"-2e-04"	"4e-04"	"0.0029"	"0.001"	"2e-04"	"0.019"	"-0.0011"	"0.0024"	"0.2508"
"OBP_g5_6_1"	"0.0094"	"0"	"0.0019"	"0.0053"	"-2e-04"	"7e-04"	"0.003"	"0.0031"	"0.0022"	"0.2496"
"PMT_23_1_1"	"0.0109"	"0"	"0.0015"	"0.0031"	"7e-04"	"0.0011"	"0.0032"	"0.0034"	"0.0023"	"0.2486"
"Control_g86_4_2"	"0.0022"	"0.0225"	"0.0022"	"0.0018"	"0.0022"	"0.0018"	"0.0022"	"0.0013"	"0.004"	"0.2477"
"PMT_649_1_2"	"0.0011"	"0.0231"	"0.0017"	"0.0017"	"0.0021"	"0.0019"	"0.002"	"0.0012"	"0.0038"	"0.2474"
"Or_g21_2_1"	"9e-04"	"1e-04"	"0.0022"	"1e-04"	"-4e-04"	"0.0096"	"0.014"	"0.001"	"0.0026"	"0.2434"
"Gr_g36_4_2"	"0.0011"	"0.0225"	"0.002"	"0.0014"	"0.0018"	"0.0022"	"0.0024"	"0.0014"	"0.0039"	"0.242"
"Or_g21_1_5"	"0.0021"	"1e-04"	"0.0018"	"2e-04"	"-5e-04"	"0.0102"	"0.0119"	"4e-04"	"0.0023"	"0.2415"
"Gr_g73_5_1"	"0.0013"	"0.0221"	"0.0016"	"0.0017"	"0.002"	"0.0019"	"0.0014"	"0.0015"	"0.0038"	"0.2411"
"P450_g11_3_2"	"0.0025"	"0.0224"	"0.002"	"0.0016"	"0.0018"	"0.0017"	"0.0022"	"0.0015"	"0.0039"	"0.2408"
"Gr_g76_4_2"	"0.0014"	"0.0222"	"0.0016"	"0.0014"	"0.0019"	"0.0024"	"0.0021"	"0.0018"	"0.0038"	"0.2404"
"Gr_g42_2_5"	"0.0017"	"0.0207"	"0.0019"	"0.0011"	"0.0023"	"0.0019"	"0.0021"	"0.0012"	"0.0036"	"0.2395"
"Control_g120_4_3"	"-7e-04"	"2e-04"	"0.0025"	"0.0051"	"0.0061"	"0.0018"	"0.0065"	"-0.0012"	"0.0031"	"0.238"
"Control_g120_5_4"	"4e-04"	"0"	"0.0028"	"0.0043"	"0.0042"	"0.0014"	"0.0083"	"-0.001"	"0.0026"	"0.2376"
"Or_g65_5_1"	"0.0035"	"0"	"0.0146"	"9e-04"	"0.0029"	"0.0026"	"0.0042"	"3e-04"	"0.0031"	"0.2375"
"PMT_402_1_1"	"0.0033"	"0"	"0.0015"	"-2e-04"	"0.0032"	"0"	"0.0041"	"0.0036"	"0.0021"	"0.2368"
"PMT_642_1_10"	"0.0018"	"0.0221"	"0.0022"	"0.0015"	"0.0017"	"0.0014"	"0.0013"	"0.001"	"0.0034"	"0.2356"
"PMT_17_1_1"	"0.0109"	"0"	"0.0015"	"0.0044"	"5e-04"	"6e-04"	"0.0032"	"0.0039"	"0.0025"	"0.2355"
"PMT_239_1_1"	"0.0015"	"0.02"	"0.0017"	"0.0021"	"0.002"	"0.0019"	"0.0025"	"6e-04"	"0.0035"	"0.2332"
"P450_g13_1_4"	"0.0028"	"2e-04"	"0.0029"	"9e-04"	"8e-04"	"0.0185"	"0.0022"	"6e-04"	"0.0028"	"0.2331"
"PMT_19_1_1"	"0.0101"	"0"	"0.0016"	"0.0047"	"4e-04"	"0.001"	"0.0037"	"0.0035"	"0.0024"	"0.2315"
"Or_g20_1_5"	"0.0021"	"2e-04"	"0.0017"	"7e-04"	"-7e-04"	"0.0117"	"0.0114"	"-6e-04"	"0.0023"	"0.2274"
"Control_g155_2_1"	"0.0013"	"1e-04"	"9e-04"	"0.001"	"0.0018"	"4e-04"	"0.0018"	"0.0075"	"0.0022"	"0.2273"
"PMT_403_1_1"	"0.0023"	"0"	"0.0014"	"0"	"0.0037"	"-1e-04"	"0.0044"	"0.0046"	"0.0024"	"0.2271"
"Control_g129_14_6"	"0.0017"	"0.0207"	"0.0019"	"0.0014"	"0.0018"	"0.0019"	"0.0012"	"0.001"	"0.0034"	"0.2265"
"Or_g21_4_1"	"0.0011"	"3e-04"	"0.002"	"-1e-04"	"0"	"0.0083"	"0.0123"	"0.001"	"0.0024"	"0.2244"
"Or_g60_5_1"	"0.0016"	"0.0177"	"0.0014"	"0.0016"	"0.0021"	"0.0018"	"0.0015"	"9e-04"	"0.0032"	"0.2241"
"Or_g21_3_1"	"0.003"	"1e-04"	"0.0016"	"3e-04"	"-7e-04"	"0.0102"	"0.0123"	"5e-04"	"0.0023"	"0.2239"
"Control_g154_2_5"	"0.0016"	"1e-04"	"0.0013"	"0.0012"	"0.0014"	"6e-04"	"0.002"	"0.0084"	"0.0024"	"0.2231"
"P450_g11_1_6"	"0.0017"	"0.0206"	"0.0019"	"0.0014"	"0.0017"	"0.0017"	"0.0018"	"0.0013"	"0.0035"	"0.2229"
"Control_g121_1_2"	"0.0037"	"4e-04"	"0.0043"	"0.0044"	"0.0088"	"4e-04"	"-3e-04"	"0.0011"	"0.0036"	"0.222"
"Or_g54_1_12"	"0.0019"	"0.0202"	"0.0019"	"0.0016"	"0.0016"	"0.0012"	"0.0017"	"0.0011"	"0.0034"	"0.2215"
"Gr_g67_3_1"	"7e-04"	"0.0199"	"0.0016"	"0.0014"	"0.0016"	"0.0025"	"0.0023"	"0.0013"	"0.0033"	"0.2211"
"Or_g74_1_13"	"8e-04"	"0.0174"	"0.0022"	"0.0011"	"0.0016"	"0.0017"	"0.0017"	"0.0012"	"0.003"	"0.2209"
"OBP_g5_2_1"	"0.0132"	"0"	"0.0019"	"0.0045"	"-1e-04"	"0.0011"	"0.0026"	"0.0029"	"0.0023"	"0.2209"
"P450_g14_5_1"	"0.0013"	"0"	"0.0019"	"0.0055"	"0.004"	"0.001"	"0.0053"	"0.001"	"0.0028"	"0.2197"
"PMT_359_1_1"	"7e-04"	"0.0196"	"0.0015"	"0.0015"	"0.0021"	"0.0015"	"0.0014"	"0.0013"	"0.0034"	"0.2133"
"Or_g20_2_1"	"0.0012"	"2e-04"	"0.002"	"-4e-04"	"-5e-04"	"0.0127"	"0.009"	"4e-04"	"0.0022"	"0.2133"
"P450_g14_2_3"	"7e-04"	"0"	"0.0024"	"0.0033"	"0.0028"	"0.0013"	"0.0051"	"0.0016"	"0.0023"	"0.2128"
"Control_g86_1_1"	"0.0013"	"0.0201"	"0.0013"	"0.0013"	"0.0018"	"0.0015"	"0.0017"	"0.0013"	"0.0033"	"0.2127"
"Gr_g42_4_2"	"0.0021"	"0.0183"	"0.0016"	"0.001"	"0.0018"	"0.0019"	"0.0017"	"0.0012"	"0.0032"	"0.2104"
"PMT_257_1_1"	"0.0195"	"0"	"0.0014"	"7e-04"	"7e-04"	"5e-04"	"-6e-04"	"9e-04"	"0.0014"	"0.2103"
"P450_g15_3_1"	"0.001"	"0"	"9e-04"	"0.0037"	"0.0027"	"0.0017"	"0.0058"	"0.0015"	"0.0023"	"0.2096"
"P450_g14_9_2"	"0.0021"	"1e-04"	"0.0018"	"0.0042"	"0.0028"	"0.0014"	"0.0045"	"0.0024"	"0.0025"	"0.2083"
"Control_g190_4_2"	"1e-04"	"1e-04"	"2e-04"	"0.0026"	"8e-04"	"0.0028"	"0.0037"	"0.0063"	"0.0022"	"0.2081"
"PMT_502_1_1"	"0.001"	"0"	"0.0014"	"8e-04"	"0.0012"	"0.0086"	"0.0013"	"8e-04"	"0.0018"	"0.208"
"Gr_g60_2_3"	"0.0021"	"0.0169"	"0.0018"	"3e-04"	"0.0016"	"0.0016"	"0.0018"	"9e-04"	"0.0029"	"0.2079"
"PMT_258_1_1"	"0.0196"	"1e-04"	"0.0016"	"4e-04"	"5e-04"	"3e-04"	"7e-04"	"5e-04"	"0.0015"	"0.2078"
"PMT_235_1_1"	"0.0016"	"0.0177"	"0.0019"	"0.0013"	"0.0017"	"0.0011"	"0.0025"	"8e-04"	"0.0031"	"0.2077"
"PMT_249_1_1"	"8e-04"	"2e-04"	"0.0011"	"0.001"	"0.0013"	"0.0078"	"0.0017"	"5e-04"	"0.0017"	"0.2065"
"P450_g11_4_4"	"0.001"	"0.0194"	"0.0018"	"0.0012"	"0.0017"	"0.0012"	"0.0017"	"0.0013"	"0.0033"	"0.2052"
"P450_g11_5_2"	"0.0012"	"0.019"	"0.0021"	"0.0014"	"0.0016"	"0.0017"	"0.0017"	"0.0013"	"0.0034"	"0.2045"
"Control_g82_17_3"	"0.0023"	"0.0035"	"0.0053"	"0.0016"	"0.0027"	"0.0016"	"0.0022"	"0.002"	"0.0026"	"0.2032"
"PMT_501_1_1"	"0.0015"	"3e-04"	"0.001"	"6e-04"	"0.0013"	"0.0079"	"0.001"	"0.001"	"0.0017"	"0.2031"
"Gr_g76_5_2"	"0.0018"	"0.0187"	"0.0018"	"0.0013"	"0.0012"	"0.0018"	"0.0014"	"0.0011"	"0.0031"	"0.2026"
"Gr_g76_1_1"	"0.0013"	"0.018"	"0.0015"	"0.0012"	"0.002"	"0.0021"	"0.0011"	"0.0011"	"0.0032"	"0.2025"
"P450_g14_7_2"	"0.0011"	"0"	"0.002"	"0.0033"	"0.0027"	"9e-04"	"0.0063"	"0.0017"	"0.0023"	"0.2023"
"Gr_g73_4_1"	"0.0013"	"0.0183"	"0.0014"	"0.001"	"0.0016"	"0.002"	"0.0015"	"0.0012"	"0.0031"	"0.201"
"P450_g14_6_2"	"-0.001"	"0"	"0.0021"	"0.0041"	"0.0022"	"0.0012"	"0.0045"	"0.0017"	"0.0022"	"0.1985"
"Gr_g33_3_2"	"0.0168"	"0"	"0.0018"	"-3e-04"	"9e-04"	"6e-04"	"-1e-04"	"6e-04"	"0.0013"	"0.1984"
"PMT_500_1_1"	"0.001"	"0"	"9e-04"	"8e-04"	"0.001"	"0.0085"	"0.001"	"5e-04"	"0.0016"	"0.1983"
"Control_g86_5_3"	"0.0014"	"0.0179"	"0.0014"	"0.001"	"0.0015"	"0.0015"	"0.0016"	"9e-04"	"0.003"	"0.1976"
"Control_g154_1_1"	"7e-04"	"1e-04"	"0.0012"	"8e-04"	"0.0015"	"3e-04"	"0.0019"	"0.0062"	"0.0019"	"0.1965"
"P450_g11_2_2"	"8e-04"	"0.0172"	"0.0014"	"0.002"	"0.0015"	"0.0013"	"0.0017"	"0.0012"	"0.0031"	"0.1952"
